Sakoe Chiba value,Mean average error
1,53.921
2,29.217
3,16.687
4,10.452
5,7.25
6,5.168
7,3.645
8,2.771
9,2.066
10,1.528
11,1.129
12,0.833
13,0.638
14,0.485
15,0.356
16,0.253
17,0.197
18,0.14
19,0.1
20,0.058
21,0.034
22,0.022
23,0.015
24,0.011
25,0.007
26,0.006
27,0.002
28,0.002
29,0.001
30,0.0
31,0.0
