Sakoe Chiba value,Avg % error
1,101.221
2,55.242
3,32.032
4,19.924
5,13.373
6,9.318
7,6.528
8,4.847
9,3.594
10,2.663
11,1.964
12,1.372
13,1.043
14,0.747
15,0.52
16,0.357
17,0.263
18,0.184
19,0.134
20,0.089
21,0.049
23,0.045
25,0.009
27,0.003
29,0.0
31,0.0
