Sakoe Chiba value,ms
1,1462
11,1474
21,1458
31,1587
41,1722
51,1652
61,1714
71,1819
81,1898
91,1851
101,1838
121,2105
141,1968
161,2153
181,2107
201,2114
221,2431
241,2298
261,2274
281,2477
301,2616
321,2827
341,2856
361,2495
381,2531
401,2651
421,3047
441,2922
461,2745
481,2843
501,3015
536,2907
571,2942
606,2981
641,3218
676,3379
711,3360
746,3371
781,3250
816,3286
851,3656
886,3689
921,3475
956,3771
991,3638
