Sakoe Chiba value,ms
1,403
11,389
21,416
31,443
41,492
51,551
61,598
71,634
81,630
91,673
101,726
121,842
141,899
161,980
181,1337
201,1281
221,1360
241,1406
261,1501
281,1328
301,1401
321,1438
341,1559
361,1697
381,1507
401,1578
421,1478
441,1497
461,1577
481,1629
